county_name,population,crime_rate_per_100000,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON
"Pulaski County, GA",11542,337.8963784,0,2,2,35,80,171,4,0
"Cleveland County, OK",269340,337.8629242,13,116,210,571,2383,6949,908,40
"Winn Parish, LA",14813,337.5413488,1,0,8,41,102,174,17,0
"Marshall County, TN",31130,337.2952136,1,7,1,96,152,313,23,6
"King County, WA",2044449,337.2057704,57,574,2572,3691,17559,53262,9545,310
"Grady County, OK",53685,337.1519046,1,21,13,146,443,853,93,9
"Los Alamos County, NM",17798,337.1165299,0,10,0,49,39,164,5,3
"Franklin County, KY",49648,336.3680309,3,22,68,74,469,1224,86,9
"Adams County, CO",469193,336.3221531,22,274,238,1044,2175,9187,1464,101
"Bastrop County, TX",75825,336.3006924,0,51,20,184,505,1205,98,8
"Lanier County, GA",10408,336.2797848,0,4,4,27,83,114,12,0
"Wilcox County, AL",11307,336.0749978,0,1,5,32,45,103,11,2
"Tate County, MS",28373,334.8253621,1,5,16,73,153,319,25,2
"Coconino County, AZ",136539,334.7029054,4,47,56,350,555,3598,117,52
"Labette County, KS",20916,334.6720214,0,6,5,59,178,416,28,9
"Lewis County, TN",11961,334.420199,0,3,4,33,52,230,20,3
"Sutter County, CA",95350,333.508128,5,26,45,242,758,1786,288,15
"Seward County, KS",23390,333.4758444,0,13,7,58,163,423,21,0
"Sevier County, TN",93570,333.4402052,1,30,44,237,1364,2529,206,8
"Berkshire County, MA",129585,333.371918,0,67,55,311,891,1885,93,16
"Clay County, MS",20408,333.2026656,4,8,8,48,147,265,3,0
"Washington County, CO",4803,333.1251301,0,3,0,13,15,57,5,1
"Hamilton County, IA",15312,333.0721003,0,0,3,48,70,175,20,2
"Houston County, GA",147658,331.8479188,8,31,166,285,1142,4198,211,18
"Berks County, PA",413521,331.7848429,21,94,481,776,2462,6058,797,45
"Russell County, KS",6933,331.7467186,0,1,0,22,40,87,13,1
"Lucas County, IA",8746,331.5801509,0,3,1,25,59,146,25,4
"Cabell County, WV",97133,331.5042262,2,31,142,147,1289,3150,203,68
"Seminole County, FL",436041,331.3908554,17,86,357,985,2478,7200,504,17
"Aiken County, SC",164176,331.3517201,13,53,108,370,1618,4344,571,6
"Crawford County, KS",39278,330.9740822,1,24,10,96,371,1334,73,19
"Ashland County, WI",16016,330.9190809,0,1,2,50,78,411,14,1
"Appanoose County, IA",12692,330.9171131,0,6,0,36,141,218,23,11
"Manassas city, VA",41705,330.8955761,3,8,51,76,111,745,48,7
"Albany County, NY",306945,330.6781345,5,69,318,623,1497,7210,265,19
"Matagorda County, TX",36592,330.6733712,1,11,19,90,290,770,23,5
"Indiana County, PA",87745,330.5031626,5,29,16,240,310,990,53,10
"Montgomery County, IL",29654,330.4781817,0,5,3,90,102,388,16,4
"Minnehaha County, SD",179640,329.5479849,2,139,60,391,863,3595,271,54
"Webster Parish, LA",40678,329.4163922,1,11,13,109,153,351,32,1
"Marion County, AR",16430,328.6670724,0,6,1,47,117,190,6,1
"Lamar County, GA",17959,328.5260872,3,8,7,41,79,384,34,4
"Gordon County, GA",55757,328.2099109,4,10,11,158,345,1110,63,1
"Blaine County, ID",21329,328.1916639,1,4,0,65,61,114,24,2
"San Luis Obispo County, CA",276443,327.7348314,6,69,78,753,1568,4266,418,87
"Nacogdoches County, TX",65330,327.567733,1,24,30,159,430,1358,67,5
"Talladega County, AL",81096,326.7732071,3,25,39,198,1028,2262,185,8
"Duplin County, NC",60084,326.2099727,9,15,24,148,633,806,64,12
"Webster County, WV",8893,326.0991791,3,0,1,25,26,29,4,0
"Yadkin County, NC",38038,325.9897997,2,6,6,110,376,552,35,6
"Washington County, AL",16877,325.8873022,2,3,3,46,68,146,23,6
"West Baton Rouge Parish, LA",24573,325.5605746,4,2,7,67,72,565,34,1
"Lincoln Parish, LA",47414,324.7985827,3,12,29,110,378,889,23,0
"Union County, TN",19102,324.5733431,2,7,9,44,237,403,47,13
"Tama County, IA",17576,324.3058716,0,2,0,55,45,63,9,17
"Citrus County, FL",139271,323.8290814,5,26,57,363,737,1971,129,16
"Lake County, FL",308034,323.6655694,8,65,130,794,2003,4934,375,25
"Wood County, WV",86569,323.4414167,1,28,35,216,619,1876,109,29
"Lake County, TN",7731,323.3734316,0,0,2,23,28,56,4,4
"Wilson County, TN",121945,323.0964779,4,17,44,329,569,1855,160,5
"Valley County, ID",9606,322.7149698,0,9,0,22,47,151,6,1
"Craighead County, AR",101488,322.205581,4,29,82,212,1387,2285,110,18
"Pierce County, GA",18938,322.1037068,0,4,16,41,143,218,13,0
"Stillwater County, MT",9318,321.9575016,0,4,1,25,54,62,6,1
"Salt Lake County, UT",1079721,321.9350184,27,487,773,2188,6584,35187,4226,128
"Sabine Parish, LA",24235,321.8485661,0,3,6,69,73,472,4,0
"Howell County, MO",40393,321.8379422,1,6,4,119,312,1074,65,4
"Shelby County, TX",25792,321.8052109,5,10,18,50,169,373,34,3
"Logan County, KS",2798,321.6583274,0,0,0,9,8,15,1,0
"Putnam County, WV",56650,321.270962,1,8,9,164,157,655,31,1
"McDowell County, WV",20876,320.9427093,0,6,5,56,91,171,105,3
"Ripley County, MO",14032,320.695553,0,1,1,43,95,361,17,2
"Dodge County, GA",21221,320.4373027,0,5,4,59,211,714,20,0
"Swain County, NC",14058,320.1024328,1,4,1,39,120,195,10,0
"McLean County, IL",174647,320.0742068,1,73,84,401,770,2793,89,25
"Waynesboro city, VA",21263,319.804355,0,11,9,48,88,623,39,1
"Yavapai County, AZ",215133,319.8021689,12,44,47,584,943,3186,221,42
"San Augustine County, TX",8769,319.3066484,0,1,3,24,36,79,13,1
"Beaver County, PA",170115,319.1958381,6,36,84,417,632,3048,129,14
"Pasco County, FL",475502,319.0312554,12,107,304,1094,3597,8943,657,91
"Licking County, OH",168375,318.9309577,0,87,66,384,1087,3618,151,55
"Lowndes County, GA",112916,318.8210705,5,44,97,214,901,2342,111,13
"Lee County, TX",16628,318.7394756,0,5,3,45,91,226,12,0
"Suffolk city, VA",85728,318.4490482,2,30,52,189,357,1823,95,20
"Doniphan County, KS",7851,318.4307732,0,2,0,23,46,56,13,2
"Ford County, IL",13832,318.1029497,0,11,1,32,64,122,3,0
"Geneva County, AL",26727,318.0304561,0,7,5,73,162,394,34,9
"Edgar County, IL",17960,317.3719376,0,4,3,50,88,154,12,2
"Franklin County, MA",71221,317.3221381,1,19,26,180,484,734,28,7
"Mesa County, CO",147554,317.1720184,5,108,44,311,573,3456,262,35
"Jackson County, OR",208545,316.9579707,4,76,82,499,1029,6491,317,71
"Sarasota County, FL",390429,316.8309731,17,71,288,861,2741,7901,378,26
"Hidalgo County, TX",815996,316.7907686,30,202,474,1879,6465,22631,1421,171
"Lee County, GA",29071,316.4665818,1,1,5,85,150,453,27,2
"Crawford County, AR",61640,316.3530175,1,24,8,162,456,1060,70,1
"Jackson County, MI",160369,316.1458885,7,67,71,362,723,2280,159,44
"Franklin County, AR",18034,316.0696462,2,7,2,46,99,287,24,3
"Troup County, GA",69053,315.6995351,5,15,76,122,706,1935,119,7
"Pawnee County, KS",6971,315.5931717,0,5,0,17,48,94,6,1
"Marshall County, SD",4763,314.9275667,0,6,0,9,11,24,5,0
"Danville city, VA",42907,314.6339758,3,14,54,64,424,1483,45,15
"Chariton County, MO",7628,314.6303094,0,1,0,23,28,50,3,3
"Faulkner County, AR",119580,314.4338518,4,62,80,230,1064,2823,228,15
"Little River County, AR",12730,314.2183818,0,8,1,31,61,165,5,3
"Ozark County, MO",9560,313.8075314,1,2,2,25,82,55,2,1
"Harmon County, OK",2869,313.6981527,1,0,2,6,34,56,3,0
"Cherokee County, SC",55885,313.1430616,3,14,20,138,338,584,97,3
"Rowan County, NC",138323,313.0354316,3,26,129,276,1306,2784,208,20
"Polk County, IA",451677,312.8341713,8,147,280,978,3410,10775,988,79
"Mono County, CA",14074,312.6332244,0,4,9,31,86,170,2,1
"Chowan County, NC",14726,312.3726742,0,0,15,31,138,226,16,4
"Lonoke County, AR",70753,312.3542465,0,28,18,174,864,1145,121,15
"Quay County, NM",8662,311.7063034,0,2,4,21,125,144,10,0
"St. Joseph County, MI",60964,311.6593399,0,61,7,122,256,853,52,7
"Catawba County, NC",154810,311.349396,13,34,119,316,1555,4057,292,36
"Adair County, OK",22194,310.8948364,1,7,1,60,156,157,20,7
"Grant County, AR",18019,310.7830623,1,3,3,49,137,219,22,4
"Henry County, TN",32210,310.4625893,1,8,12,79,293,684,31,0
"Garfield County, WA",2256,310.2836879,0,1,0,6,16,35,2,1
"Marion County, TN",28374,310.1430887,0,1,4,83,116,380,46,1
"Craven County, NC",104489,310.0804869,3,24,61,236,1888,2116,145,9
"Gunnison County, CO",15507,309.5376282,0,5,2,41,35,260,13,0
"Vanderburgh County, IN",181398,309.2647107,8,56,199,298,1132,4544,422,76
"Howard County, AR",13581,309.2555776,0,6,2,35,120,297,4,0
"Hardy County, WV",13920,308.908046,0,3,0,40,32,54,9,2
"Kankakee County, IL",112120,308.5979308,8,49,82,207,658,2195,94,46
"Indian River County, FL",141994,308.4637379,1,17,64,356,851,2830,102,1
"Somerset County, MD",26273,308.3012979,3,9,9,60,147,338,9,4
"Bates County, MO",16550,308.1570997,0,0,1,50,115,336,40,3
"Butte County, CA",222090,307.98325,11,75,167,431,1919,3147,593,62
"Mahnomen County, MN",5532,307.3029646,0,3,0,14,36,74,4,0
"Stephens County, OK",44919,307.2196621,3,19,19,97,441,1018,70,4
"Wayne County, IL",16612,307.0069829,0,3,1,47,87,198,4,2
"Stewart County, TN",13362,306.8402934,1,1,3,36,61,94,13,4
"Jefferson County, GA",16320,306.372549,0,1,17,32,121,210,13,0
"Kearny County, KS",3923,305.8883508,0,2,0,10,17,44,2,0
"Panola County, TX",23870,305.823209,0,7,8,58,208,437,44,4
"Pecos County, TX",15697,305.7909155,1,4,2,41,74,255,2,1
"Hartford County, CT",898272,305.5867265,34,129,1153,1429,4293,16180,2020,140
"Woodbury County, IA",102130,305.4929991,3,36,46,227,709,2830,222,20
"Cowlitz County, WA",101860,305.3210289,4,79,66,162,872,2742,237,51
"Lafayette County, FL",8848,305.1537071,1,1,1,24,28,38,1,1
"Riverside County, CA",2292507,304.8627551,76,322,2349,4242,19105,39880,9191,241
"Sheridan County, NE",5251,304.7038659,0,2,1,13,17,68,4,4
"Clearfield County, PA",81174,304.2846232,0,37,12,198,325,1454,43,19
"Jackson County, TN",11517,303.8985847,0,0,2,33,83,131,17,3
"Washington County, MS",49688,303.896313,11,24,54,62,1242,1693,142,85
"Adams County, IL",67130,303.8879785,0,28,16,160,287,1251,30,9
"Iron County, UT",46780,303.548525,1,23,5,113,218,832,53,4
"Stark County, OH",375432,303.3838352,13,126,583,417,3773,7549,719,98
"St. Louis County, MO",1001444,303.3619454,38,154,732,2114,5444,19368,1961,123
"Cass County, TX",30331,303.3200356,2,11,8,71,298,376,41,1
"Broome County, NY",197534,303.2389361,7,59,135,398,1252,4891,126,27
"Jefferson County, TN",52123,303.1291368,3,12,26,117,399,957,68,5
"Hertford County, NC",24431,302.8938644,4,5,15,50,225,350,35,6
"Tyler County, TX",21464,302.83265,1,9,1,54,130,134,19,3
"Tippecanoe County, IN",180174,302.4853752,1,63,87,394,1032,3725,275,16
"Bay County, MI",106832,302.343867,1,69,41,212,453,1573,89,15
"Kauai County, HI",69512,302.1061112,0,29,22,159,689,1753,151,10
"Richland Parish, LA",20857,302.0568634,0,2,3,58,75,369,14,1
"Knox County, IL",52078,301.4708706,2,20,14,121,340,1032,22,4
"Jack County, TX",8957,301.4402144,0,6,0,21,39,99,14,1
"Carroll County, GA",112355,300.8321837,3,35,71,229,903,2402,162,8
"Midland County, TX",151468,300.3934825,5,22,54,374,700,2728,216,9
"Greene County, GA",16321,300.2267018,1,0,4,44,100,340,11,0
"Carbon County, UT",20988,300.1715266,9,11,1,42,211,619,35,4
"Walton County, GA",85754,299.6944749,21,27,42,167,817,1719,163,4
"Polk County, TN",16690,299.5805872,4,1,2,43,115,210,41,0
"Madison County, AR",15701,299.3439908,0,9,0,38,48,77,7,3
"Sullivan County, PA",6351,299.1654858,0,1,0,18,44,50,4,0
"Banks County, GA",18415,298.6695629,0,2,1,52,109,428,29,0
"Maverick County, TX",55932,298.5768433,3,4,4,156,512,993,42,1
"Clark County, OH",136167,298.1632848,5,45,182,174,1753,3708,213,93
"Arapahoe County, CO",607070,297.9886998,22,265,552,970,2879,11787,1348,110
"Scott County, KS",5035,297.9145978,0,3,0,12,16,60,5,0
"Mitchell County, KS",6378,297.8990279,0,3,0,16,15,45,3,1
"Jackson County, MS",140450,296.9028124,5,74,103,235,1406,3153,323,19
"Lyon County, NV",51557,296.758927,1,19,12,121,322,729,73,10
"Buena Vista County, IA",20567,296.5916274,0,3,0,58,90,217,13,5
"Wakulla County, FL",31022,296.563729,0,13,4,75,149,513,22,7
"Ochiltree County, TX",10806,296.1317786,0,0,0,32,35,110,12,4
"Wayne County, IN",67893,296.0540851,7,51,55,88,613,1259,143,41
"Cass County, ND",162829,296.0160659,1,82,54,345,620,2813,200,23
"Mineral County, WV",27704,295.9861392,0,7,6,69,131,287,17,1
"Boone County, IA",26364,295.8579882,1,12,2,63,122,234,6,3
"Kootenai County, ID",144265,295.2899179,1,58,23,343,1173,3096,274,37
"Hernando County, FL",174441,295.2287593,2,46,71,396,1249,3213,166,7
"Marion County, IL",38622,295.1685568,0,12,15,87,292,944,52,8
"Macon County, TN",22701,295.1411832,0,2,0,65,56,149,26,1
"Sumner County, TN",168888,294.869973,2,31,41,423,674,2327,108,31
"Lawrence County, AL",33587,294.7569,0,4,6,89,206,362,49,5
"Overton County, TN",22075,294.4507361,1,3,2,59,119,167,13,5
"Washtenaw County, MI",354240,294.4331527,6,159,188,690,2339,5739,441,85
"Mille Lacs County, MN",25833,294.1973445,0,17,11,48,195,592,53,3
"Lake County, OR",7820,294.1176471,0,4,0,19,7,14,3,0
"Colorado County, TX",20752,293.9475713,4,13,2,42,120,255,22,0
"Grant County, WA",91878,293.8679553,5,47,48,170,907,2423,287,24
"Carteret County, NC",68434,293.7136511,4,30,20,147,618,1354,78,7
"Dooly County, GA",14304,293.6241611,0,1,5,36,38,125,5,0
"Scott County, MS",28273,293.5663,1,4,17,62,153,174,27,7
"Surry County, NC",73050,292.9500342,7,15,28,164,679,1466,121,19
"Davison County, SD",19823,292.5894163,0,19,3,36,62,364,24,3
"Lewis and Clark County, MT",65338,292.3260583,3,39,15,134,205,1135,65,11
"Perry County, TN",7869,292.2861863,0,1,1,21,33,66,8,1
"Glades County, FL",13345,292.2442863,0,3,1,35,72,111,11,0
"Jasper County, IL",9592,291.9099249,0,1,0,27,27,72,7,1
"Fairfield County, CT",939904,291.8383154,33,485,948,1277,3214,11574,1515,65
"Claiborne County, MS",9253,291.7972549,2,5,5,15,136,90,21,4
"Missoula County, MT",111807,291.5738728,0,42,43,241,468,3028,147,18
"Union Parish, LA",22344,290.905836,0,1,2,62,86,208,6,0
"Mitchell County, GA",23045,290.7355175,0,3,12,52,119,415,29,0
"Macomb County, MI",854769,290.7218207,4,312,438,1731,3591,12722,1931,128
"Terry County, TX",12743,290.3554893,0,3,7,27,80,138,7,2
"Carbon County, MT",10340,290.1353965,0,7,0,23,24,90,9,2
"Camp County, TX",12413,290.018529,0,5,3,28,106,226,7,4
"Perry County, AR",10345,289.9951667,0,4,1,25,37,127,7,0
"Lake County, MI",11386,289.8296153,0,11,0,22,140,130,3,2
"Deer Lodge County, MT",9329,289.4200879,1,5,0,21,13,163,8,0
"Custer County, OK",29377,289.3420022,1,12,3,69,138,331,41,1
"Franklin County, TN",41129,289.3335603,4,13,5,97,222,564,39,5
"Grant County, KS",7950,289.3081761,0,0,1,22,41,63,8,2
"Humboldt County, CA",134493,289.2343839,2,39,130,218,1130,3212,508,48
"Jasper County, SC",26629,289.1584363,9,14,25,29,201,547,62,8
"Polk County, AR",20406,289.1306478,1,9,3,46,214,360,13,8
"Eureka County, NV",2076,289.017341,0,2,0,4,14,13,2,0
"Clark County, WI",34615,288.8920988,0,0,1,99,80,177,18,4
"Orange County, NY",375592,288.8772924,9,68,377,632,1361,6868,242,35
"Iredell County, NC",164517,288.7239617,1,31,89,354,1650,3251,247,19
"Jerome County, ID",22514,288.7092476,0,13,7,45,138,186,21,6
"Mills County, IA",14896,288.6680988,0,6,5,32,143,185,38,4
"Jefferson County, MS",7629,288.3733124,0,1,0,21,12,30,0,1
"Upshur County, TX",39884,288.3361749,1,11,11,92,345,616,56,3
"Yellowstone County, MT",154162,288.0087181,3,40,73,328,975,4176,488,25
"Blaine County, MT",6604,287.7044216,0,1,0,18,3,22,2,0
"Crawford County, MI",13904,287.6869965,0,11,1,28,84,136,8,2
"Miller County, GA",5932,286.5812542,0,1,1,15,27,79,11,1
"Kit Carson County, CO",8037,286.176434,0,4,0,19,15,84,7,0
"Greene County, IL",13629,286.1545234,0,1,0,38,48,85,1,1
"Allen County, IN",363014,285.3884423,24,105,469,438,2308,8185,518,64
"Richland County, MT",11214,285.3575887,0,1,2,29,50,153,26,1
"Warren County, MO",32999,284.8571169,0,5,4,85,170,619,29,5
"Hancock County, TN",6679,284.4737236,0,2,0,17,47,132,8,1
"Elmore County, AL",80902,284.2945786,4,23,44,159,665,1367,85,14
"Chippewa County, MI",38696,284.2671077,1,17,1,91,126,462,27,5
"Donley County, TX",3522,283.9295855,0,0,0,10,12,18,4,0
"Washington County, IL",14448,283.7763012,0,0,1,40,30,69,0,0
"Martinsville city, VA",13755,283.5332606,1,6,7,25,77,320,20,5
"Northampton County, NC",20839,283.1229905,1,5,9,44,205,184,31,2
"Lamb County, TX",13775,283.1215971,1,1,5,32,119,246,18,4
"Barber County, KS",4947,282.9997979,0,1,0,13,15,68,13,2
"Levy County, FL",39644,282.514378,0,18,5,89,323,590,45,1
"Toombs County, GA",27273,282.33051,3,8,14,52,235,610,34,1
"Van Buren County, MI",75455,282.2874561,0,50,13,150,418,1127,88,14
"Humboldt County, NV",17363,282.2092956,2,0,2,45,62,111,24,2
"Pettis County, MO",42205,281.9571141,0,6,16,97,497,1389,86,9
"Mingo County, WV",25900,281.8532819,3,2,5,63,86,177,31,1
"St. Johns County, FL",209647,281.4254437,8,14,58,510,929,3514,167,4
"Luzerne County, PA",320103,281.1595018,17,88,233,562,1661,5892,354,55
"Barry County, MO",35572,281.119982,0,7,7,86,363,940,67,10
"Broadwater County, MT",5692,281.0962755,0,2,0,14,3,40,1,2
"Greene County, AR",43097,280.762002,2,15,17,87,685,1077,93,7
"Washington County, FL",24624,280.214425,0,3,4,62,100,283,17,2
"Marion County, AL",30334,280.2136217,1,7,3,74,201,402,42,5
"Yazoo County, MS",27883,279.7403436,1,7,16,54,252,239,23,0
"Scott County, IN",23972,279.4927415,2,10,8,46,274,756,25,1
"Jasper County, GA",13601,279.3912212,0,4,0,34,75,110,10,0
"Harford County, MD",249215,279.2769296,3,54,156,483,1020,2817,206,41
"Glenn County, CA",27940,279.1696492,0,2,7,69,230,400,102,7
"Rensselaer County, NY",159918,278.8929326,9,29,130,278,964,3032,135,9
"Warren County, IA",47336,278.8575292,0,21,0,112,226,383,41,19
"Crook County, OR",20815,278.6452078,0,4,1,53,95,332,7,1
"Imperial County, CA",176584,278.6209396,3,20,111,358,2037,3508,718,28
"Hall County, NE",60720,278.3267457,0,43,21,105,418,2037,90,17
"Butts County, GA",23361,278.2415136,0,10,12,43,118,392,49,0
"Brown County, WI",254586,278.09856,8,68,98,534,989,3685,158,15
"Grand County, UT",9360,277.7777778,0,5,0,21,52,228,22,1
"Houston County, TN",8292,277.3757839,0,0,1,22,35,65,15,1
"Catron County, NM",3607,277.2387025,0,1,1,9,35,32,6,0
"Mayes County, OK",40804,276.933634,2,7,2,101,221,373,60,5
"Pocahontas County, WV",8669,276.8485408,0,2,1,21,26,43,2,1
"Luce County, MI",6502,276.837896,0,2,1,15,24,45,2,0
"Benewah County, ID",9044,276.42636,0,0,1,24,37,35,5,2
"Mason County, MI",28605,276.1754938,2,33,1,43,147,744,29,7
"Hardee County, FL",27519,276.172826,1,9,12,54,229,471,36,0
"Jackson County, OK",26088,275.9889604,1,10,11,50,237,490,27,3
"Bethel Census Area, AK",17758,275.9319743,1,14,2,32,39,58,38,4
"Burleigh County, ND",88457,275.8402388,1,38,17,188,387,1650,120,12
"Franklin County, KS",25740,275.8352758,0,14,5,52,153,388,25,10
"Douglas County, GA",136379,275.7022709,1,22,77,276,815,3103,229,9
"Bradley County, AR",11249,275.5800516,1,1,9,20,141,65,10,1
"Washington County, OK",51577,275.3165171,2,15,16,109,375,949,73,7
"Montour County, PA",18541,275.0660698,0,8,1,42,66,185,7,6
"Weld County, CO",269785,274.2924922,6,61,89,583,971,4127,286,52
"Rockingham County, NC",91878,274.2767583,7,14,51,180,1041,1967,132,18
"Yell County, AR",21893,274.0602019,1,5,6,48,198,239,25,4
"Tom Green County, TX",114954,274.0226525,5,57,36,217,852,2841,146,11
"Coles County, IL",53697,273.7583105,2,26,14,105,140,517,14,18
"Meriwether County, GA",21232,273.1725697,0,1,4,53,181,424,42,2
"Decatur County, KS",2930,273.0375427,0,1,0,6,22,25,1,0
"Garfield County, OK",62267,273.0178104,2,30,21,117,517,1456,102,13
"Twin Falls County, ID",79957,272.6465475,4,24,19,171,334,1177,77,12
"Choctaw County, OK",15045,272.515786,0,5,4,32,91,134,19,9
"Josephine County, OR",83306,272.4893765,1,15,57,154,713,1978,208,17
"Person County, NC",39276,272.4310011,0,14,14,79,378,589,33,5
"Clallam County, WA",72312,272.4305786,5,35,24,133,654,1540,112,7
"Malheur County, OR",30479,272.3186456,0,12,5,66,195,816,30,0
"Goshen County, WY",13612,271.8189833,0,0,1,36,66,146,2,0
"Yolo County, CA",204593,271.7590533,0,71,162,323,1312,4122,522,106
"Taylor County, GA",8464,271.7391304,0,0,1,22,53,60,4,1
"Cherokee County, KS",20978,271.7132234,2,5,2,48,242,374,37,14
"Warren County, PA",40885,271.4932127,1,16,6,88,149,567,29,3
"Highlands County, FL",97616,271.4718899,3,24,65,173,840,1527,105,10
"Telfair County, GA",16591,271.2313905,0,2,2,41,69,155,9,0
"Monongalia County, WV",102274,270.841074,3,22,43,209,400,1580,74,10
"Hill County, TX",34823,269.9365362,1,10,12,71,265,581,20,5
"Fayette County, WV",45599,269.7427575,5,6,26,86,352,826,58,4
"Flathead County, MT",93068,269.6952766,1,35,13,202,429,1946,108,9
"Marshall County, OK",15988,268.9517138,2,4,0,37,35,81,15,1
"Kitsap County, WA",253968,268.9315189,5,109,111,458,2073,5454,614,42
"St. Francois County, MO",66215,268.8212641,1,13,8,155,306,1510,118,4
"Preston County, WV",33859,268.7616291,1,8,4,78,97,188,28,4
"Woodward County, OK",21221,268.6018567,0,8,1,49,154,353,52,1
"McKenzie County, ND",9314,268.4131415,1,2,1,21,16,137,15,1
"Randolph County, AL",22727,268.4032208,0,4,3,54,228,408,44,6
"Comal County, TX",118480,268.3997299,3,41,29,245,558,2104,131,9
"Conway County, AR",21245,268.2984232,0,8,0,49,112,446,35,10
"Otero County, NM",65616,268.2272616,0,11,10,155,319,823,62,8
"White County, IL",14549,268.0596605,2,6,2,29,70,252,21,0
"Galveston County, TX",306782,267.9427085,7,105,271,439,2049,6549,466,39
"Mason County, WA",60497,267.7818735,6,27,22,107,914,1407,256,12
"Caswell County, NC",23190,267.3566192,2,8,4,48,214,288,17,7
"Benton County, AR",237297,267.1757334,3,112,29,490,1214,3461,176,22
"Essex County, VA",11229,267.1653754,0,4,2,24,63,168,7,0
"Howard County, IN",82760,267.037216,4,19,63,135,682,1574,107,1
"Salem County, NJ",65166,267.0104042,1,13,47,113,488,987,50,13
"Osage County, OK",47987,266.7389085,1,18,20,90,358,593,89,17
"Ottawa County, OK",32245,266.7080167,0,4,5,77,207,583,38,5
"Cape May County, NJ",95897,265.9102996,2,12,53,187,1054,3278,84,3
"Clear Creek County, CO",9031,265.7513011,0,1,1,22,30,108,11,8
"Marshall County, MS",36515,265.6442558,1,2,23,71,109,220,14,0
"Phelps County, MO",44807,265.5835026,1,13,11,94,223,1129,52,7
"Dare County, NC",35019,265.5701191,2,15,16,60,605,1168,45,10
"Wayne County, WV",41437,265.4632333,2,10,14,84,300,629,61,10
"Santa Clara County, CA",1862041,265.4076897,55,402,1639,2846,8940,28055,10997,312
"Warrick County, IN",61049,265.360612,0,12,6,144,126,771,39,7
"Monroe County, MI",150376,265.3348939,5,67,93,234,1044,2599,231,35
"Wright County, MO",18473,265.2519894,1,2,1,45,102,275,15,4
"Cobb County, GA",717190,264.2256585,15,119,646,1115,4322,11263,1136,44
"Whitfield County, GA",102945,264.2187576,3,19,38,212,780,2121,121,14
"Carbon County, PA",64786,263.9459142,3,13,17,138,352,953,36,8
"Haywood County, NC",59183,263.5892064,1,14,19,122,616,996,95,4
"St. Clair County, MO",9487,263.518499,0,0,1,24,83,142,11,0
"Chambers County, TX",36812,263.5010323,0,10,18,69,267,622,94,4
"Worth County, GA",21291,263.0219342,2,1,7,46,225,364,24,1
"Lauderdale County, AL",92797,262.9395347,3,28,55,157,612,1600,100,6
"Delta County, MI",36905,262.837014,0,23,7,67,145,900,32,3
"Linn County, KS",9516,262.7154267,0,4,0,21,58,81,17,5
"Martin County, FL",151263,262.4567806,4,36,88,269,721,2369,133,11
"Warren County, NC",20575,262.454435,2,6,6,40,211,283,51,5
"Barbour County, WV",16770,262.3732856,0,0,0,44,70,66,10,0
"Hartley County, TX",6100,262.295082,0,2,0,14,32,59,5,1
"Delaware County, IN",117484,262.1633584,1,11,104,192,914,2631,232,41
"Sequoyah County, OK",41218,262.0214469,0,11,2,95,239,587,43,12
"Lumpkin County, GA",30918,261.9833107,0,11,2,68,117,311,28,2
"Callaway County, MO",44359,261.502739,1,4,12,99,318,941,50,3
"Starr County, TX",61963,261.446347,2,9,10,141,349,592,72,5
"Butte County, SD",10330,261.374637,0,12,0,15,44,123,2,1
"Madison County, IN",130482,261.3387287,3,60,88,190,965,2842,262,41
"Le Flore County, OK",49774,261.180536,1,14,5,110,356,587,68,8
"Harrison County, WV",68972,260.9754683,1,12,14,153,296,1136,70,10
"Page County, IA",15713,260.9304398,0,3,2,36,99,242,21,2
"Bennett County, SD",3452,260.7184241,0,1,0,8,2,15,4,1
"Sandoval County, NM",136575,260.6626396,4,28,30,293,595,1648,201,17
"Wexford County, MI",32645,260.3767805,0,29,7,49,139,590,12,3
"Shoshone County, ID",12690,260.0472813,2,3,0,29,74,152,20,2
"Wayne County, TN",16939,259.7555936,1,2,0,41,46,93,8,3
"Garvin County, OK",27334,259.7497622,0,8,10,53,221,410,43,17
"Polk County, MN",31569,259.7484874,1,32,3,46,129,429,26,12
"Lehigh County, PA",355092,259.65102,21,92,478,331,1925,7098,597,41
"Monroe County, IN",141888,259.3594948,4,49,54,262,941,3648,251,28
"Chase County, KS",2700,259.2592593,0,0,0,7,40,8,1,1
"St. Clair County, MI",160469,259.2401025,3,51,56,306,791,2382,137,30
"Cherry County, NE",5788,259.1568763,0,2,0,13,6,29,7,0
"Christian County, KY",74167,258.875241,6,32,67,87,670,1408,104,14
"Cameron County, TX",417276,258.8214994,13,98,237,732,3092,13186,476,73
"DeKalb County, IL",104741,258.7334473,1,47,31,192,337,1836,47,22
"Washington County, MD",149588,258.7105918,3,21,104,259,810,2044,214,43
"Covington County, AL",37886,258.6707491,1,13,7,78,282,684,38,12
"Clinton County, IN",32916,258.2330781,0,12,17,56,190,822,58,2
"Silver Bow County, MT",34523,257.7991484,0,3,6,80,197,978,105,4
"Oneida County, NY",233585,257.7220284,2,43,165,392,1212,4387,192,37
"Union County, FL",15136,257.6638478,1,1,7,30,64,80,9,2
