RegionName,StateName,SizeRank,2015,2016,2017,2018,2019
Salem,Oregon,149,187000.0,209741.66666666666,234433.33333333334,265758.3333333333,279466.6666666667
Garden Grove,California,150,463433.3333333333,500233.3333333333,533500.0,589983.3333333334,604325.0
Grand Prairie,Texas,151,163516.66666666666,176900.0,194600.0,212833.33333333334,223600.0
Beaverton,Oregon,152,282825.0,320758.3333333333,358325.0,380866.6666666667,393483.3333333333
Escondido,California,153,422750.0,444266.6666666667,471950.0,517816.6666666667,518483.3333333333
Providence,Rhode Island,154,0.0,0.0,114050.0,202550.0,210183.33333333334
Fort Lauderdale,Florida,155,272383.3333333333,277683.3333333333,288608.3333333333,312600.0,325791.6666666667
Ontario,California,156,322433.3333333333,347475.0,364716.6666666667,409833.3333333333,420900.0
Charleston,South Carolina,158,251208.33333333334,266833.3333333333,278583.3333333333,305283.3333333333,307700.0
Kissimmee,Florida,159,147125.0,166216.66666666666,186500.0,219483.33333333334,230825.0
Chattanooga,Tennessee,160,135591.66666666666,142566.66666666666,152541.66666666666,158208.33333333334,173558.33333333334
Tempe,Arizona,161,179725.0,205983.33333333334,219858.33333333334,237758.33333333334,248358.33333333334
Murfreesboro,Tennessee,162,171083.33333333334,190466.66666666666,212675.0,234008.33333333334,250750.0
Rancho Cucamonga,California,163,412125.0,431475.0,439525.0,498941.6666666667,508466.6666666667
Cape Coral,Florida,164,166433.33333333334,176275.0,191300.0,216875.0,230425.0
Savannah,Georgia,165,169950.0,176583.33333333334,181225.0,193258.33333333334,194033.33333333334
Fredericksburg,Virginia,166,247616.66666666666,254900.0,264325.0,275808.3333333333,290225.0
Killeen,Texas,167,103033.33333333333,105375.0,112333.33333333333,120858.33333333333,131516.66666666666
Palmdale,California,168,220033.33333333334,245591.66666666666,271725.0,298341.6666666667,315208.3333333333
Roanoke,Virginia,169,150908.33333333334,143200.0,146266.66666666666,147700.0,155750.0
Newport News,Virginia,170,150450.0,161766.66666666666,163683.33333333334,169483.33333333334,173450.0
El Cajon,California,171,398116.6666666667,419758.3333333333,450033.3333333333,480966.6666666667,496966.6666666667
Clarksville,Tennessee,172,130491.66666666667,139241.66666666666,144691.66666666666,158750.0,170950.0
Elk Grove,California,173,323216.6666666667,352058.3333333333,388041.6666666667,419925.0,431200.0
Peoria,Arizona,174,190041.66666666666,211025.0,232266.66666666666,253075.0,273116.6666666667
Sugar Land,Texas,175,282416.6666666667,285375.0,293891.6666666667,288483.3333333333,295350.0
Naperville,Illinois,176,334433.3333333333,308025.0,333616.6666666667,349458.3333333333,370525.0
Fairfax,Virginia,177,470108.3333333333,475675.0,491150.0,510525.0,521108.3333333333
Boynton Beach,Florida,178,184133.33333333334,208491.66666666666,225766.66666666666,236775.0,242808.33333333334
Topeka,Kansas,179,0.0,42508.333333333336,132000.0,132133.33333333334,137608.33333333334
McKinney,Texas,180,257950.0,276900.0,297875.0,306791.6666666667,306350.0
Lafayette,Louisiana,181,40708.333333333336,163275.0,167658.33333333334,167266.66666666666,171766.66666666666
Pembroke Pines,Florida,182,213866.66666666666,238725.0,253208.33333333334,264158.3333333333,281783.3333333333
Edmond,Oklahoma,183,215325.0,209625.0,216525.0,216641.66666666666,234325.0
Lakeland,Florida,184,113500.0,127341.66666666667,142141.66666666666,151808.33333333334,162591.66666666666
Pueblo,Colorado,185,134675.0,147958.33333333334,157900.0,167600.0,183575.0
Odessa,Texas,187,0.0,0.0,113591.66666666667,190241.66666666666,220658.33333333334
Henrico,Virginia,188,199166.66666666666,210200.0,219425.0,234725.0,246316.66666666666
Midland,Texas,189,222358.33333333334,226416.66666666666,243350.0,271891.6666666667,294825.0
Lakewood,Colorado,190,259700.0,307908.3333333333,335150.0,363366.6666666667,387091.6666666667
Cumming,Georgia,191,261266.66666666666,271841.6666666667,288816.6666666667,308258.3333333333,323458.3333333333
Alexandria,Virginia,192,451633.3333333333,447758.3333333333,445066.6666666667,480900.0,483800.0
Tyler,Texas,193,158875.0,166333.33333333334,175683.33333333334,176391.66666666666,189066.66666666666
Pomona,California,194,327775.0,347808.3333333333,374825.0,414125.0,427666.6666666667
Visalia,California,195,0.0,155825.0,222816.66666666666,239833.33333333334,248391.66666666666
Cypress,Texas,196,216916.66666666666,217308.33333333334,230800.0,243766.66666666666,258708.33333333334
Round Rock,Texas,197,226550.0,241658.33333333334,256941.66666666666,270875.0,286583.3333333333
Ann Arbor,Michigan,198,258850.0,274733.3333333333,311166.6666666667,341816.6666666667,353908.3333333333
Whittier,California,199,425366.6666666667,459100.0,495533.3333333333,518575.0,535741.6666666666
Sunnyvale,California,201,1044375.0,1132516.6666666667,1307250.0,1556641.6666666667,1458466.6666666667
Hollywood,Florida,202,200658.33333333334,210991.66666666666,232383.33333333334,248341.66666666666,271816.6666666667
Edinburg,Texas,203,0.0,0.0,10766.666666666666,132750.0,150583.33333333334
Conroe,Texas,204,194866.66666666666,201066.66666666666,205791.66666666666,217966.66666666666,230908.33333333334
Lansing,Michigan,205,61266.666666666664,69500.0,80175.0,86116.66666666667,93500.0
South Bend,Indiana,206,88950.0,90950.0,100050.0,103566.66666666667,112275.0
Cary,North Carolina,207,285466.6666666667,309875.0,318308.3333333333,338575.0,345283.3333333333
Paterson,New Jersey,208,0.0,107000.0,158800.0,191633.33333333334,237325.0
Pasadena,Texas,209,117291.66666666667,127833.33333333333,139841.66666666666,149850.0,155983.33333333334
Yuma,Arizona,210,136841.66666666666,143250.0,148958.33333333334,163866.66666666666,174933.33333333334
Frisco,Texas,211,194458.33333333334,355583.3333333333,371408.3333333333,380183.3333333333,385600.0
Syracuse,New York,213,0.0,0.0,50275.0,86958.33333333333,62633.333333333336
Bridgeport,Connecticut,215,113675.0,117925.0,138908.33333333334,153650.0,170016.66666666666
Canton,Ohio,216,0.0,36475.0,94358.33333333333,97191.66666666667,102250.0
Mesquite,Texas,218,123300.0,137533.33333333334,157350.0,170891.66666666666,183133.33333333334
Renton,Washington,219,321175.0,358850.0,404683.3333333333,442275.0,474116.6666666667
Metairie,Louisiana,220,193516.66666666666,206558.33333333334,220850.0,228100.0,241983.33333333334
Santa Maria,California,221,324291.6666666667,348591.6666666667,365458.3333333333,383216.6666666667,396633.3333333333
Torrance,California,222,634783.3333333334,679408.3333333334,701241.6666666666,761916.6666666666,809791.6666666666
Clearwater,Florida,223,140133.33333333334,158500.0,177158.33333333334,191816.66666666666,202541.66666666666
Fullerton,California,224,502550.0,540475.0,560466.6666666666,623525.0,633833.3333333334
McAllen,Texas,225,135050.0,141683.33333333334,142875.0,152050.0,158608.33333333334
Orange,California,226,338700.0,600783.3333333334,624008.3333333334,671725.0,671325.0
Compton,California,227,278800.0,310358.3333333333,345558.3333333333,385433.3333333333,410466.6666666667
Hampton,Virginia,228,80516.66666666667,144275.0,146200.0,156116.66666666666,163350.0
Bellevue,Washington,229,609841.6666666666,661550.0,802283.3333333334,855383.3333333334,871283.3333333334
Inglewood,California,230,334091.6666666667,375766.6666666667,424000.0,500758.3333333333,553283.3333333334
Kent,Washington,231,278100.0,318316.6666666667,350941.6666666667,386700.0,408483.3333333333
West Valley City,Utah,232,190158.33333333334,208483.33333333334,231058.33333333334,258166.66666666666,281125.0
Olathe,Kansas,233,213550.0,227800.0,238391.66666666666,259716.66666666666,278450.0
Warren,Michigan,234,80175.0,93266.66666666667,104175.0,116625.0,125833.33333333333
Miramar,Florida,235,219816.66666666666,243058.33333333334,266225.0,291650.0,309016.6666666667
Thornton,Colorado,236,258591.66666666666,292425.0,318275.0,352625.0,363975.0
Abilene,Texas,237,135741.66666666666,138508.33333333334,141391.66666666666,145883.33333333334,161808.33333333334
Concord,California,238,440425.0,475441.6666666667,523150.0,561983.3333333334,580016.6666666666
Cedar Rapids,Iowa,239,127308.33333333333,129166.66666666667,133300.0,139750.0,144733.33333333334
Bloomington,Indiana,240,0.0,122308.33333333333,171750.0,181191.66666666666,195983.33333333334
Boulder,Colorado,241,517075.0,615933.3333333334,640383.3333333334,691550.0,723658.3333333334
Sterling Heights,Michigan,242,157816.66666666666,168125.0,179266.66666666666,189800.0,201633.33333333334
Carrollton,Texas,243,217875.0,233016.66666666666,259058.33333333334,273475.0,287400.0
Coral Springs,Florida,244,270275.0,285350.0,310100.0,341550.0,346958.3333333333
Thousand Oaks,California,245,631983.3333333334,652958.3333333334,683200.0,717833.3333333334,728591.6666666666
Victorville,California,246,184608.33333333334,203433.33333333334,226975.0,243900.0,258083.33333333334
Roseville,California,247,359408.3333333333,388350.0,417683.3333333333,440525.0,467783.3333333333
Surprise,Arizona,248,176475.0,194808.33333333334,208616.66666666666,229483.33333333334,246033.33333333334
Hamilton,Ohio,249,122600.0,137016.66666666666,142633.33333333334,144575.0,152975.0
Waco,Texas,250,128166.66666666667,135933.33333333334,149975.0,151666.66666666666,169458.33333333334
Simi Valley,California,251,482300.0,503450.0,530041.6666666666,559675.0,576450.0
Stamford,Connecticut,252,439258.3333333333,434666.6666666667,435425.0,438791.6666666667,457483.3333333333
Pearland,Texas,253,218325.0,232025.0,240600.0,248741.66666666666,261100.0
Denton,Texas,254,109366.66666666667,201941.66666666666,221825.0,235933.33333333334,247525.0
Allentown,Pennsylvania,257,105025.0,109966.66666666667,119516.66666666667,131400.0,136775.0
Lake Charles,Louisiana,258,156341.66666666666,176666.66666666666,188275.0,194158.33333333334,181941.66666666666
Frederick,Maryland,259,241891.66666666666,246433.33333333334,256991.66666666666,272950.0,280141.6666666667
Hartford,Connecticut,260,0.0,0.0,48558.333333333336,111908.33333333333,124358.33333333333
Murrieta,California,261,349683.3333333333,372583.3333333333,390391.6666666667,422566.6666666667,430183.3333333333
Temecula,California,262,387841.6666666667,406891.6666666667,420233.3333333333,458841.6666666667,466183.3333333333
Hemet,California,263,193033.33333333334,213166.66666666666,236400.0,257608.33333333334,269800.0
East Los Angeles,California,264,323333.3333333333,364658.3333333333,397800.0,436466.6666666667,456208.3333333333
Joliet,Illinois,265,115133.33333333333,119183.33333333333,139575.0,152166.66666666666,159175.0
Vallejo,California,266,272700.0,307300.0,352708.3333333333,386483.3333333333,399341.6666666667
Santa Clara,California,267,507050.0,922541.6666666666,1045508.3333333334,1278841.6666666667,1204691.6666666667
Town Of Amherst,New York,269,182933.33333333334,186883.33333333334,197900.0,215233.33333333334,222716.66666666666
Athens,Georgia,270,105916.66666666667,154058.33333333334,160008.33333333334,168383.33333333334,179783.33333333334
Falls Church,Virginia,271,482783.3333333333,476583.3333333333,487125.0,489141.6666666667,539533.3333333334
Norman,Oklahoma,272,146516.66666666666,147983.33333333334,150408.33333333334,153000.0,164416.66666666666
Nampa,Idaho,274,136166.66666666666,153900.0,167758.33333333334,196350.0,228608.33333333334
Berkeley,California,275,860508.3333333334,960166.6666666666,1057291.6666666667,1137375.0,1206183.3333333333
Westminster,Colorado,276,259741.66666666666,293641.6666666667,325875.0,354516.6666666667,368350.0
Rochester,Minnesota,277,0.0,0.0,115425.0,209566.66666666666,228125.0
Clovis,California,278,267875.0,285983.3333333333,307416.6666666667,329633.3333333333,331416.6666666667
Summerville,South Carolina,279,100966.66666666667,182358.33333333334,196850.0,215891.66666666666,227575.0
Vista,California,280,427358.3333333333,441958.3333333333,486325.0,524033.3333333333,532558.3333333334
Broken Arrow,Oklahoma,281,148000.0,146991.66666666666,155975.0,160858.33333333334,169975.0
Arvada,Colorado,283,295100.0,338375.0,371716.6666666667,401225.0,419758.3333333333
Charlottesville,Virginia,284,261758.33333333334,288200.0,302325.0,317733.3333333333,325633.3333333333
Independence,Missouri,285,83991.66666666667,94100.0,106833.33333333333,116333.33333333333,125183.33333333333
Tuscaloosa,Alabama,286,181633.33333333334,152591.66666666666,148916.66666666666,158900.0,169400.0
Provo,Utah,287,197591.66666666666,216191.66666666666,233866.66666666666,258233.33333333334,280158.3333333333
New Port Richey,Florida,288,107466.66666666667,129775.0,141608.33333333334,159483.33333333334,166616.66666666666
Spartanburg,South Carolina,289,94108.33333333333,98941.66666666667,105150.0,113958.33333333333,114550.0
Bellingham,Washington,290,283858.3333333333,314700.0,341316.6666666667,384716.6666666667,410350.0
Melbourne,Florida,291,152791.66666666666,170191.66666666666,187875.0,199925.0,211966.66666666666
Costa Mesa,California,292,649175.0,697025.0,726483.3333333334,789883.3333333334,798791.6666666666
Sparks,Nevada,293,241941.66666666666,266208.3333333333,290508.3333333333,327816.6666666667,339816.6666666667
Bend,Oregon,294,297675.0,326125.0,368708.3333333333,396533.3333333333,419158.3333333333
El Monte,California,295,396533.3333333333,417291.6666666667,462316.6666666667,509166.6666666667,485641.6666666667
Miami Gardens,Florida,296,132308.33333333334,155725.0,194575.0,216633.33333333334,228391.66666666666
Chico,California,297,272200.0,289766.6666666667,308233.3333333333,331158.3333333333,380416.6666666667
Downey,California,298,467858.3333333333,490333.3333333333,509066.6666666667,554600.0,587433.3333333334
Tracy,California,299,388158.3333333333,421225.0,449233.3333333333,490600.0,507225.0
Ventura,California,300,476750.0,521491.6666666667,540516.6666666666,573400.0,577166.6666666666
North Charleston,South Carolina,301,83550.0,152525.0,165158.33333333334,173425.0,180275.0
Lewisville,Texas,302,212150.0,228525.0,246141.66666666666,265033.3333333333,272166.6666666667
West Covina,California,303,448875.0,474691.6666666667,501950.0,547508.3333333334,563733.3333333334
Rock Hill,South Carolina,304,140850.0,153625.0,160783.33333333334,177683.33333333334,190866.66666666666
Bowling Green,Kentucky,305,141316.66666666666,145766.66666666666,157608.33333333334,162458.33333333334,175333.33333333334
Yakima,Washington,306,166100.0,180150.0,198108.33333333334,215308.33333333334,234641.66666666666
Redding,California,307,230158.33333333334,236291.66666666666,253816.66666666666,262558.3333333333,283700.0
Manchester,New Hampshire,308,0.0,0.0,123225.0,225250.0,232983.33333333334
Saint Augustine,Florida,309,186791.66666666666,198691.66666666666,215141.66666666666,227100.0,256550.0
Delray Beach,Florida,310,140800.0,155516.66666666666,167500.0,177925.0,190491.66666666666
Lowell,Massachusetts,311,200658.33333333334,212008.33333333334,227633.33333333334,248266.66666666666,266383.3333333333
